step,omega,grad_hat,grad_se,grad_norm,true_grad_norm,bellman_error,distance_to_target,omega_0,grad_hat_0,grad_se_0,omega_star_0,omega_1,grad_hat_1,grad_se_1,omega_star_1,omega_2,grad_hat_2,grad_se_2,omega_star_2,omega_3,grad_hat_3,grad_se_3,omega_star_3
10,"[0.08428644644, -0.04123348759, 0.1164207518, 0.08595389404]","[-0.1358442921, 0.08469073942, -0.1866116043, -0.1209447373]","[0.003024122188, 0.003272765695, 0.004760058263, 0.008739308618]",0.27400312661766685,0.2761882050597398,0.06119644268447528,0.5780754210288422,0.08428644644282177,-0.135844292121115,0.003024122188024446,0.55,-0.04123348758867071,0.08469073941672832,0.003272765695362221,-0.35,0.11642075177646598,-0.18661160433213703,0.004760058263047957,0.25,0.08595389404344339,-0.120944737297677,0.008739308617591908,0.15
11,"[0.09107866105, -0.04546802456, 0.125751332, 0.09200113091]","[-0.1309066293, 0.08468406901, -0.1796456048, -0.1135756196]","[0.002951289754, 0.003222562912, 0.004610093449, 0.008408795618]",0.26359040540970563,0.26544551574563685,0.05748640729665219,0.5675826985803819,0.09107866104887752,-0.13090662932073252,0.0029512897542688086,0.55,-0.045468024559507124,0.08468406901328611,0.003222562912250316,-0.35,0.12575133199307284,-0.17964560478640118,0.004610093449171944,0.25,0.09200113090832725,-0.11357561956783886,0.008408795617861483,0.15
12,"[0.09762399251, -0.04970222801, 0.1347336122, 0.09767991189]","[-0.1261837621, 0.08459632869, -0.1729846793, -0.1066030993]","[0.002882894903, 0.003175026176, 0.004469015185, 0.008095865834]",0.253706130540899,0.2552503794550725,0.05405531960079571,0.5575361295731205,0.09762399251491415,-0.1261837620546769,0.0028828949033255957,0.55,-0.04970222801017143,0.08459632868916267,0.0031750261763408877,-0.35,0.13473361223239289,-0.17298467928056913,0.00446901518459995,0.25,0.09767991188671919,-0.10660309927144793,0.008095865833889982,0.15
13,"[0.1039331806, -0.05393204444, 0.1433828462, 0.1030100669]","[-0.1216654735, 0.08443317294, -0.1666142738, -0.100006648]","[0.002818671346, 0.003130007545, 0.004336355264, 0.007799682171]",0.24432170188275582,0.24557336619078432,0.050878920983415205,0.5479115922876744,0.10393318061764799,-0.12166547348500567,0.0028186713457898343,0.55,-0.05393204444462956,0.08443317294114304,0.0031300075452569236,-0.35,0.14338284619642133,-0.16661427381947075,0.004336355263688661,0.25,0.10301006685029158,-0.10000664797530733,0.0077996821713990526,0.15
14,"[0.1100164543, -0.05815370309, 0.1517135599, 0.1080103992]","[-0.1173420519, 0.08419994039, -0.1605205548, -0.09376678549]","[0.00275836611, 0.003087366931, 0.004211665655, 0.007519447108]",0.23540995234250195,0.23638651156162555,0.04793522526018768,0.5386864880375235,0.11001645429189827,-0.11734205186907637,0.0027583661095028134,0.55,-0.058153703091686715,0.08419994039055306,0.0030873669312733885,-0.35,0.15171355988739488,-0.16052055476762256,0.00421166565540947,0.25,0.10801039924905695,-0.09376678548599195,0.007519447108209086,0.15
15,"[0.1158835569, -0.06236370011, 0.1597395876, 0.1126987385]","[-0.1132042652, 0.08390167035, -0.1546903727, -0.08786502659]","[0.002701739135, 0.003046971754, 0.004094517628, 0.007254400431]",0.22694508199560012,0.2276632485382926,0.04520429887343505,0.5298396487107573,0.11588355688535208,-0.11320426520492201,0.002701739134551576,0.55,-0.062363700111214365,0.0839016703454163,0.003046971754105675,-0.35,0.159739587625776,-0.15469037267274086,0.004094517628055958,0.25,0.11269873852335655,-0.08786502658635569,0.007254400430631904,0.15
16,"[0.1215437701, -0.06655878363, 0.1674741063, 0.1170919899]","[-0.1092433372, 0.08354311851, -0.1491112279, -0.08228383047]","[0.002648562875, 0.003008696603, 0.003984500958, 0.007003817091]",0.21890259571798515,0.21937834292328642,0.042668062623529665,0.5213512484963961,0.12154377014559818,-0.10924333715678575,0.0026485628752609693,0.55,-0.06655878362848518,0.0835431185128766,0.0030086966032010502,-0.35,0.16747410625941306,-0.14911122791613524,0.0039845009577837275,0.25,0.11709198985267433,-0.08228383047358892,0.007003817090739271,0.15
17,"[0.127005937, -0.07073593955, 0.1749296677, 0.1212061814]","[-0.1054509242, 0.08312877191, -0.1437712381, -0.07700655276]","[0.002598621905, 0.002972422909, 0.003881223214, 0.006767005183]",0.2112592440690352,0.2115078322859591,0.04031011281411829,0.5132027197670939,0.12700593700343746,-0.1054509241960502,0.002598621905254905,0.55,-0.070735939554129,0.08312877190513616,0.002972422909351703,-0.35,0.17492966765521983,-0.14377123809750908,0.003881223213931427,0.25,0.12120618137635378,-0.07700655276190627,0.006767005182752522,0.15
18,"[0.1322784832, -0.07489237815, 0.1821182296, 0.125056509]","[-0.1018190939, 0.08266286298, -0.1386591071, -0.07201739992]","[0.002551712523, 0.002938038626, 0.003784309113, 0.006543304037]",0.20399296718646404,0.2040289681215983,0.03811555990018483,0.5053766730741875,0.13227848321323996,-0.10181909389605612,0.0025517125225078753,0.55,-0.07489237814938582,0.08266286297997262,0.002938038625543304,-0.35,0.1821182295600953,-0.13865910706643156,0.0037843091134464194,0.25,0.1250565090144491,-0.07201739991986683,0.006543304037114421,0.15
19,"[0.1373694379, -0.0790255213, 0.1890511849, 0.128657379]","[-0.09834030432, 0.08214938305, -0.1337640955, -0.06730138602]","[0.002507642352, 0.002905437917, 0.003693399936, 0.006332082431]",0.1970828414654521,0.1969201610024717,0.03607088291645776,0.4978568211957122,0.13736943790804276,-0.09834030432242762,0.002507642352150052,0.55,-0.07902552129838444,0.08214938305480567,0.0029054379170259576,-0.35,0.18905118491341688,-0.13376409551713409,0.00369339993626425,0.25,0.12865737901044244,-0.06730138601891258,0.006332082430993986,0.15
20,"[0.1422864531, -0.08313299045, 0.1957393897, 0.1320224483]","[-0.09500738446, 0.08159209503, -0.1290759931, -0.06284429168]","[0.002466229946, 0.002874520861, 0.003608152993, 0.006132736914]",0.19050902880655807,0.19016092849867156,0.0341637981335488,0.4906279071635073,0.14228645312416416,-0.09500738446348139,0.002466229945597918,0.55,-0.08313299045112472,0.08159209503131015,0.002874520860646492,-0.35,0.1957393896892736,-0.1290759930675406,0.003608152993200432,0.25,0.13202244831138807,-0.06284429167598332,0.0061327369140249995,0.15
21,"[0.1470368223, -0.0872125952, 0.2021931893, 0.1351646629]","[-0.09181351565, 0.08099454547, -0.1245850917, -0.05863262508]","[0.002427304375, 0.002845193154, 0.003528241138, 0.005944690248]",0.18425272823009642,0.1837318456574858,0.032383140542321984,0.48367563618222176,0.14703682234733823,-0.09181351564810285,0.0024273043753306077,0.55,-0.08721259520269023,0.0809945454657009,0.0028451931535145194,-0.35,0.20219318934265063,-0.12458509174745228,0.003528241137828046,0.25,0.13516466289518725,-0.05863262507898436,0.005944690247980247,0.15
22,"[0.1516274981, -0.09126232248, 0.2084224439, 0.1380962941]","[-0.0887522139, 0.08036007602, -0.1202821608, -0.05465358499]","[0.002390704825, 0.002817365831, 0.003453352314, 0.005767389959]",0.17829612966860447,0.17761449784185904,0.03071875690499092,0.4769866113410625,0.15162749812974335,-0.08875221390112151,0.0023907048252985634,0.55,-0.09126232247597528,0.08036007601801141,0.0028173658310916847,-0.35,0.20842244393002324,-0.12028216082456092,0.0034533523139454003,0.25,0.13809629414913646,-0.05465358498952544,0.005767389958833385,0.15
23,"[0.1560651088, -0.09528032628, 0.214436552, 0.1408289734]","[-0.08581731319, 0.07969183431, -0.1161584229, -0.05089502562]","[0.002356280178, 0.002790954995, 0.003383189131, 0.005600306999]",0.17262236976376166,0.1717914357412104,0.029161409235821657,0.47054827300867746,0.15606510882479943,-0.0858173131887791,0.002356280177521067,0.55,-0.09528032627687585,0.07969183431202406,0.0027909549947965208,-0.35,0.21443655197125128,-0.11615842290064404,0.003383189130581344,0.25,0.14082897339861272,-0.05089502562270597,0.005600306999261191,0.15
24,"[0.1603559745, -0.09926491799, 0.2202444731, 0.1433737247]","[-0.08300294951, 0.07899278424, -0.1122055312, -0.04734542331]","[0.002323888596, 0.002765881549, 0.003317468457, 0.005442934519]",0.16721548950919143,0.16624613238132563,0.02770268768642158,0.46434884179267005,0.16035597448423838,-0.08300294950925008,0.0023238885958939536,0.55,-0.09926491799247705,0.07899278423587913,0.002765881549208787,-0.35,0.22024447311628348,-0.11220553121365677,0.0033174684570268357,0.25,0.14337372467974802,-0.047345423308788014,0.005442934519103856,0.15
25,"[0.164506122, -0.1032145572, 0.2258547497, 0.1457409958]","[-0.08030354579, 0.07826571571, -0.1084155481, -0.04399384485]","[0.002293397109, 0.002742070949, 0.003255921031, 0.005294786741]",0.16206039359603208,0.16096294197407116,0.026334931911634597,0.45837726493793923,0.16450612195970088,-0.08030354578548046,0.002293397108585782,0.55,-0.10321455720427102,0.07826571571187299,0.0027420709489394,-0.35,0.2258547496769663,-0.10841554808474625,0.0032559210310938074,0.25,0.1457409958451874,-0.043993844846437695,0.005294786740648274,0.15
26,"[0.1685212992, -0.107127843, 0.2312755271, 0.1479406881]","[-0.07771379752, 0.07751325396, -0.1047809245, -0.04082991746]","[0.002264681191, 0.002719452955, 0.003198291075, 0.005155397935]",0.15714281133352853,0.15592706046209082,0.025051160083131158,0.4526231660322808,0.1685212992489749,-0.07771379751976201,0.0022646811906524506,0.55,-0.10712784298986466,0.07751325396251735,0.0027194529552072863,-0.35,0.23127552708120364,-0.1047809244522562,0.0031982910746515937,0.25,0.1479406880875093,-0.04082991746177358,0.005155397934857316,0.15
27,"[0.1724069891, -0.1110035057, 0.2365145733, 0.149982184]","[-0.07522865917, 0.0767378683, -0.1012944804, -0.03784380029]","[0.002237624349, 0.002697961402, 0.003144335911, 0.005024321494]",0.15244925903207565,0.15112448762822084,0.023845004799863446,0.44707679788342364,0.17240698912496302,-0.07522865917151446,0.0022376243486534352,0.55,-0.11100350568799053,0.07673786829854042,0.002697961402134851,-0.35,0.23651457330381645,-0.10129448043774968,0.0031443359114369444,0.25,0.14998218396059798,-0.03784380029182095,0.005024321493871227,0.15
28,"[0.1761684221, -0.1148403991, 0.2415792973, 0.151874374]","[-0.07284333122, 0.07594188045, -0.09794938689, -0.03502615732]","[0.002212117709, 0.002677533973, 0.003093825583, 0.004901129094]",0.14796700375083072,0.14654199065386248,0.022710655218538087,0.44172899842880375,0.17616842208353875,-0.07284333122170934,0.002212117709117527,0.55,-0.11484039910291755,0.07594188045321495,0.0026775339727408676,-0.35,0.24157929732570393,-0.0979493868918565,0.003093825583132561,0.25,0.15187437397518902,-0.035026157315093946,0.004901129094294693,0.15
29,"[0.1798105886, -0.1186374931, 0.2464767667, 0.1536256818]","[-0.07055324789, 0.07512747249, -0.09473914787, -0.03236813166]","[0.002188059613, 0.002658111985, 0.003046542461, 0.004785409945]",0.143684028325969,0.14216706902474807,0.02164280479394092,0.43657114953780873,0.1798105886446242,-0.07055324788920228,0.002188059612694037,0.55,-0.1186374931255783,0.07512747248616537,0.002658111984575341,-0.35,0.24647676667029675,-0.09473914787038812,0.0030465424607190083,0.25,0.15362568184094372,-0.03236813165593332,0.004785409944999548,0.15
30,"[0.183338251, -0.1223938667, 0.2512137241, 0.1552440884]","[-0.06835406547, 0.07429669428, -0.09165758399, -0.02986132119]","[0.002165355216, 0.002639640185, 0.003002280849, 0.004676770112]",0.13958899760872867,0.13798792069620647,0.020636604079051327,0.431595138565815,0.18333825103908433,-0.0683540654660167,0.0021653552157502253,0.55,-0.12239386674988656,0.07429669427861513,0.002639640184906244,-0.35,0.25121372406381615,-0.09165758399367638,0.00300228084908568,0.25,0.15524408842374038,-0.029861321192963235,0.004676770112459499,0.15
31,"[0.1867559543, -0.1261087015, 0.2557966033, 0.1567371545]","[-0.06624165124, 0.07345147064, -0.08869881664, -0.02749775541]","[0.002143916101, 0.002622066555, 0.002960846584, 0.004574831916]",0.1356712258543751,0.13399340944296226,0.019687618089057043,0.4267933225199893,0.18675595431238518,-0.06624165124028346,0.002143916101050415,0.55,-0.1261087014638173,0.07345147064093534,0.0026220665553344305,-0.35,0.25579660326349996,-0.08869881664447568,0.0029608465838043578,0.25,0.15673715448338854,-0.027497755405541995,0.004574831916032471,0.15
32,"[0.1900680369, -0.129781275, 0.2602315441, 0.1581120423]","[-0.06421207298, 0.07259360805, -0.08585725296, -0.0252698734]","[0.002123659899, 0.002605342126, 0.00292205662, 0.004479233385]",0.13192064521398655,0.13017303333052083,0.018791787782209097,0.42215849469838224,0.19006803687439935,-0.06421207297711846,0.0021236598989900213,0.55,-0.1297812749958641,0.07259360805228361,0.002605342125681115,-0.35,0.26023154409572374,-0.08585725296202518,0.002922056619796168,0.25,0.15811204225366565,-0.02526987339544797,0.0044792333851533216,0.15
33,"[0.1932786405, -0.1334109554, 0.2645244067, 0.1593755359]","[-0.06226158893, 0.07172480105, -0.08312757159, -0.02317050302]","[0.002104509921, 0.002589420797, 0.002885738612, 0.00438962777]",0.12832777529045883,0.12651689425614382,0.017945395254468893,0.4176838536662013,0.19327864052325527,-0.062261588929240864,0.0021045099206702753,0.55,-0.13341095539847828,0.07172480105112455,0.002589420796962804,-0.35,0.264524406743825,-0.08312757159202054,0.002885738612339359,0.25,0.15937553592343806,-0.023170503024207915,0.004389627770121983,0.15
34,"[0.19639172, -0.1369971955, 0.2686807853, 0.1605340611]","[-0.06038663835, 0.07084663829, -0.08050470915, -0.02119284111]","[0.002086394804, 0.002574259173, 0.002851730491, 0.004305683098]",0.12488369372826028,0.12301566851720291,0.017145032284570486,0.4133629744361776,0.19639171996971733,-0.06038663835054591,0.0020863948038976634,0.55,-0.1369971954510345,0.07084663829446693,0.0025742591732420047,-0.35,0.26868078532342604,-0.08050470915427418,0.0028517304914593257,0.25,0.16053406107464846,-0.021192841109511137,0.004305683098088274,0.15
35,"[0.1994110519, -0.1405395274, 0.2727060208, 0.1615937031]","[-0.05858383249, 0.0699606083, -0.07798384739, -0.01933043463]","[0.002069248173, 0.002559816402, 0.002819880031, 0.004227081766]",0.12158000781326256,0.11966057837324011,0.01638757190187899,0.4091897817235316,0.19941105188724462,-0.05858383248720962,0.002069248172984945,0.55,-0.14053952736575784,0.06996060830274103,0.0025598164021186096,-0.35,0.27270602078113976,-0.07798384739178453,0.002819880031208797,0.25,0.16159370313012403,-0.019330434627003366,0.004227081765952147,0.15
36,"[0.2023402435, -0.1440375578, 0.2766052132, 0.1625602249]","[-0.05684994602, 0.06906810491, -0.07556040097, -0.01757716287]","[0.002053008313, 0.002546054024, 0.002790044416, 0.004153520162]",0.118408827064455,0.11644336457533037,0.015670142681658183,0.4051585251500884,0.2023402435116051,-0.05684994602219411,0.002053008313025674,0.55,-0.1440375577808949,0.06906810490638404,0.0025460540236068164,-0.35,0.276605213150729,-0.07556040096677205,0.002790044415686416,0.25,0.1625602248614742,-0.017577162866486494,0.004153520162211738,0.15
37,"[0.2051827408, -0.147490963, 0.2803832332, 0.163439083]","[-0.05518190895, 0.06817043241, -0.07323000587, -0.01592722049]","[0.002037617859, 0.002532935827, 0.002762089804, 0.00408470831]",0.11536273680355702,0.11335625984234132,0.01499010550141328,0.4012637562764925,0.20518274081271481,-0.0551819089502329,0.0020376178591173183,0.55,-0.1474909630262141,0.06817043240939097,0.002532935827125798,-0.35,0.2803832331990676,-0.07323000587097454,0.0027620898038634416,0.25,0.16343908300479854,-0.015927220494130968,0.004084708310287994,0.15
38,"[0.2079418363, -0.1508994846, 0.2840447335, 0.164235444]","[-0.05357679886, 0.06726881048, -0.07098850842, -0.01437510147]","[0.002023023501, 0.002520427716, 0.002735890895, 0.004020369527]",0.11243477269158998,0.11039196326845163,0.014345032518163683,0.3975003073461483,0.20794183626022647,-0.05357679886154697,0.0020230235008238365,0.55,-0.15089948464668362,0.06726881048429136,0.0025204277163189395,-0.35,0.28404473349261633,-0.0709885084191637,0.0027358908954014834,0.25,0.16423544402950507,-0.014375101474760555,0.004020369526508339,0.15
39,"[0.2106206762, -0.1542629252, 0.2875941589, 0.1649541991]","[-0.05203183361, 0.06636437881, -0.0688319548, -0.01291558381]","[0.002009175702, 0.002508497581, 0.0027113305, 0.003960240087]",0.10961839622345408,0.1075436156498952,0.013732688150106882,0.39386327162937484,0.21062067620330382,-0.052031833613630646,0.0020091757019999193,0.55,-0.15426292517089818,0.06636437881230763,0.0025084975814065533,-0.35,0.28759415891357454,-0.06883195479640065,0.0027113304996634908,0.25,0.1649541991032431,-0.012915583810591715,0.003960240086715022,0.15
40,"[0.2132222679, -0.1575811441, 0.2910357567, 0.1655999783]","[-0.05054436437, 0.06545820148, -0.06675658113, -0.01154371506]","[0.001996028436, 0.002497115179, 0.00268829911, 0.003904068896]",0.10690747117260353,0.10480477572142724,0.01315101186741431,0.3903479852612577,0.21322226788398535,-0.050544364371509734,0.0019960284359481703,0.55,-0.15758114411151355,0.06545820148172518,0.0024971151787696695,-0.35,0.2910357566533946,-0.06675658113105543,0.0026882991100596948,0.25,0.16559997829377268,-0.011543715055033134,0.0039040688963342075,0.15
41,"[0.2157494861, -0.1608540542, 0.2943735857, 0.166177164]","[-0.049111869, 0.06455127116, -0.06475880407, -0.01025479856]","[0.001983538936, 0.002486252017, 0.002666694486, 0.00385161716]",0.10429624097813754,0.10216939729457311,0.012598102616081675,0.3869500104717306,0.21574948610256084,-0.049111868997846975,0.001983538935748052,0.55,-0.1608540541855998,0.06455127115685198,0.002486252017458461,-0.35,0.29437358570994737,-0.0647588040670192,0.002666694485747294,0.25,0.16617716404652433,-0.010254798562236206,0.003851617159669969,0.15
42,"[0.2182050796, -0.1640816177, 0.2976115259, 0.166689904]","[-0.04773194578, 0.06364451303, -0.06283521181, -0.009044380435]","[0.001971667459, 0.002475881252, 0.002646421243, 0.003802658045]",0.10177930706620628,0.09963180729043772,0.012072204716047953,0.38366512011149084,0.2182050795524532,-0.04773194577522742,0.001971667459481781,0.55,-0.1640816177434424,0.06364451302932189,0.0024758812523170567,-0.35,0.2976115259132983,-0.06283521180989031,0.002646421242531133,0.25,0.16668990397463615,-0.009044380435085318,0.0038026580451278784,0.15
43,"[0.2205916768, -0.1672638434, 0.3007532865, 0.167142123]","[-0.04640230744, 0.06273878856, -0.06098255562, -0.007908237136]","[0.00196037707, 0.002465977583, 0.002627390455, 0.003756976344]",0.09935160809664001,0.09718668465985084,0.011571695090384564,0.3804892833823876,0.22059167684121456,-0.046402307443838386,0.0019603770699870497,0.55,-0.1672638433949085,0.06273878856288223,0.0024659775834171603,-0.35,0.30075328650379285,-0.06098255562318848,0.002627390454607864,0.25,0.16714212299639042,-0.007908237136209703,0.0037569763439952194,0.15
44,"[0.2229117922, -0.1704007828, 0.3038024143, 0.1675375349]","[-0.04512077554, 0.06183489904, -0.05919774175, -0.006842363728]","[0.001949633429, 0.002456517161, 0.002609519269, 0.003714368121]",0.09700840012434979,0.09482904018302751,0.011095071696407994,0.3774186526858933,0.22291179221340648,-0.04512077553862536,0.0019496334286885138,0.55,-0.1704007828230526,0.06183489904225985,0.0024565171614954894,-0.35,0.30380241428495225,-0.059197741751868316,0.002609519268570477,0.25,0.16753753485320091,-0.006842363728389057,0.00371436812127678,0.15
45,"[0.225167831, -0.1734925278, 0.3067623014, 0.167879653]","[-0.04388527501, 0.06093358894, -0.05747782375, -0.005842962712]","[0.001939404603, 0.002447477499, 0.002592730531, 0.003674640358]",0.09474523766333914,0.09255419713985807,0.010640943042236473,0.37444955150814024,0.22516783099033774,-0.04388527501078531,0.0019394046029983663,0.55,-0.17349252777516558,0.060933588936140565,0.0024474774990945495,-0.35,0.3067623013725457,-0.05747782375153854,0.0025927305308549773,0.25,0.16787965303962038,-0.005842962712432838,0.0036746403578825633,0.15
46,"[0.2273620947, -0.1765392072, 0.3096361926, 0.1681718012]","[-0.04269382912, 0.06003554908, -0.0558199952, -0.004906433432]","[0.001929660887, 0.002438837387, 0.00257695243, 0.003637610584]",0.09255795563934723,0.09035777284052965,0.010208018683731139,0.3715784632647554,0.227362094740877,-0.04269382911925269,0.0019296608867293912,0.55,-0.1765392072219726,0.06003554908379964,0.002438837387112073,-0.35,0.3096361925601226,-0.05581999520291273,0.0025769524295751883,0.25,0.16817180117524202,-0.0049064334322298595,0.003637610584166122,0.15
47,"[0.2294967862, -0.1795409847, 0.3124271923, 0.1684171228]","[-0.04154455458, 0.05914141971, -0.05422158279, -0.004029362018]","[0.001920374633, 0.002430576816, 0.002562118151, 0.003603106505]",0.09044265221516827,0.08823566100452564,0.009795100607057022,0.3688020210333376,0.22949678619683964,-0.0415445545785376,0.001920374632930304,0.55,-0.17954098467616258,0.05914141971443246,0.0024305768164717347,-0.35,0.3124271923202682,-0.05422158279202489,0.0025621181514631336,0.25,0.1684171228468535,-0.004029362018201493,0.0036031065054100155,0.15
48,"[0.2315740139, -0.1824980557, 0.3151382715, 0.1686185909]","[-0.04043565695, 0.05825179331, -0.05268003974, -0.003208511842]","[0.001911520099, 0.002422676905, 0.002548165554, 0.00357096562]",0.08839567247075657,0.08618401497425461,0.009401075411380808,0.3661169981058746,0.23157401392576651,-0.04043565694997899,0.0019115200985312846,0.55,-0.1824980556618842,0.058251793307768786,0.0024226769046359745,-0.35,0.31513827145986945,-0.05268003973774692,0.002548165554416316,0.25,0.16861859094776357,-0.00320851184184728,0.003570965620340771,0.15
49,"[0.2335957968, -0.1854106453, 0.3177722734, 0.1687790165]","[-0.03936542626, 0.0573672173, -0.05119293955, -0.002440814455]","[0.0019030733, 0.002415119827, 0.002535036856, 0.003541034834]",0.08641359291833788,0.08419923174770703,0.00902490721458991,0.36352029929768126,0.23359579677326547,-0.03936542626412341,0.0019030733001758422,0.55,-0.18541064532727264,0.057367217304125404,0.0024151198266907496,-0.35,0.3177722734467568,-0.05119293954907587,0.0025350368559533616,0.25,0.16877901653985594,-0.0024408144554625712,0.0035410348341277614,0.15
50,"[0.2355640681, -0.1882790062, 0.3203319204, 0.1689010573]","[-0.03833223286, 0.05648819667, -0.0497579701, -0.001723360992]","[0.001895011881, 0.002407888751, 0.002522678338, 0.003513170068]",0.08449320683097075,0.08227793681270446,0.008665631212461665,0.3610089529535576,0.23556406808647165,-0.038332232862564146,0.0018950118806120954,0.55,-0.18827900619247892,0.056488196671630735,0.0024078887507418714,-0.35,0.3203319204242106,-0.049757970095537056,0.0025226783376995333,0.25,0.16890105726262908,-0.001723360992412045,0.0035131700675887756,0.15
